N,SLL(dB),POINTS(without 0 and 1)
53,-20.81,"[0.010119636469813967, 0.028013250575319414, 0.060873543875682085, 0.09463493573695095, 0.11296954579576031, 0.14793519441589012, 0.16411504577709463, 0.19688721682770638, 0.21589067050218055, 0.23191555470757072, 0.26401384200966094, 0.2776232870953582, 0.29429093435799586, 0.3155847140061871, 0.33119857127476454, 0.3493722295106848, 0.3653118454050822, 0.381632386047253, 0.39715725643167965, 0.4162247155860955, 0.43234328453046106, 0.4466925964395437, 0.46077177847622336, 0.47331072200323804, 0.48916301282952246, 0.5051942143131665, 0.5213166502112206, 0.5382344487420124, 0.5540787219834914, 0.5698130380380093, 0.5869941205996572, 0.6020103724615288, 0.617632861985164, 0.6323545519460367, 0.6481396043607621, 0.6682792365155815, 0.6862853309791617, 0.702476438838805, 0.7179125318677398, 0.7407571108222777, 0.756479277148599, 0.7773417911849578, 0.7963533656934692, 0.8120910225588168, 0.8465021494516938, 0.860821214826767, 0.8877747537276969, 0.9308916371813458, 0.9636948633081731, 0.9783878132060428, 0.9905660377358491]"
61,-20.88,"[0.008196721311486072, 0.01639344262314758, 0.031645242128589386, 0.06074309965965091, 0.09435541390801648, 0.12252181559777266, 0.15083625339144457, 0.16259800603435057, 0.1870623482887157, 0.19929376625891093, 0.2278787363465584, 0.2422916906094856, 0.25777171387225223, 0.2708777399103505, 0.28843917899013904, 0.3072890589715434, 0.3214806065912901, 0.3365441630876281, 0.3520064188963526, 0.365440465347859, 0.3792157430942787, 0.39413226300777143, 0.40768065073597154, 0.4204554432287059, 0.43496381525591904, 0.44875529064941244, 0.4637587963459367, 0.4770226755616324, 0.4882321592869082, 0.5014997319268056, 0.5153472998584021, 0.5293290697252587, 0.5442743644136159, 0.5565921644673381, 0.5703885832494019, 0.5833861442506627, 0.5971142384298131, 0.6112629907258089, 0.6253493311193257, 0.6395780027746121, 0.6548590266510173, 0.6697178672735369, 0.6850472690792578, 0.7005698111488208, 0.7136320913501246, 0.7280986330018558, 0.7469547788902288, 0.7699148846908795, 0.7867378924068336, 0.7970602485211727, 0.8214055220225207, 0.8426193870348178, 0.8701828929743003, 0.883535517262197, 0.9158012368447668, 0.9274382572547173, 0.9713118337138672, 0.9836065573769339, 0.9918032786885246]"
70,-20.87,"[0.007142857142857143, 0.014285714285722275, 0.021428571428986635, 0.05436011436793239, 0.07382209734077133, 0.09972419302130892, 0.12619604991182734, 0.1380603493852146, 0.16124108515319316, 0.18316412394107026, 0.19565348354669135, 0.20762909581406433, 0.23346384452533162, 0.2449415995515312, 0.25252337472824615, 0.27612672983555964, 0.2873454483512523, 0.3012537383455834, 0.3146914576050504, 0.3281387668267137, 0.34009454082184676, 0.35351329761567557, 0.3659919816016578, 0.3796798282634949, 0.39052246336975166, 0.40329137843463003, 0.41523675282322003, 0.4268840936913196, 0.4393689327798879, 0.4511638087400879, 0.46218854726516484, 0.4749798267925057, 0.4866310968869115, 0.49702546541867126, 0.5096681931981282, 0.5219289412725091, 0.5321469077629657, 0.5452480346143435, 0.5565649417384725, 0.5686610088613626, 0.5789750560196918, 0.5926063259606066, 0.6040878118174803, 0.618219797174033, 0.6277085210747697, 0.6411912160748235, 0.6532971766408531, 0.6665342469348948, 0.6799282474671271, 0.6940789300665672, 0.7064075526922079, 0.7197371687951745, 0.7354713693149865, 0.7461846192336492, 0.7657519049750756, 0.7799010442520474, 0.7904398780559085, 0.8152023942142061, 0.8305210597601778, 0.8437152334921246, 0.8663495933574863, 0.8904640485325283, 0.9036204311793151, 0.9298598421664271, 0.9665043547851133, 0.9785714285710868, 0.9857142857142402, 0.9928571428571429]"
81,-20.86,"[0.006172839506172839, 0.012345679012345678, 0.018518518518518517, 0.024691358024691357, 0.05685374095905138, 0.07575977716696623, 0.09550012746348192, 0.11737491703025014, 0.13211063406316118, 0.1535152363166599, 0.16385186274544963, 0.17806637515117937, 0.20094993634532587, 0.20926350894501466, 0.22366114167402704, 0.23847832416167042, 0.24783266013522656, 0.2650543177158973, 0.27321721259892573, 0.28921422928824353, 0.3000471684646722, 0.3090837961510555, 0.32324024450432726, 0.333211476251585, 0.3453026231663971, 0.35589731111549744, 0.36614399172380674, 0.3775509596902313, 0.38799230890214353, 0.3990675687080296, 0.4086688429602832, 0.41987290472954225, 0.4290580020448092, 0.4403495548376219, 0.4500809319465466, 0.4602823671445704, 0.4709423773107278, 0.48029254023619933, 0.4910935061383932, 0.5011615865052953, 0.5094816575751124, 0.5221876849158221, 0.5308760553034203, 0.5412215491172708, 0.5519553841941925, 0.5610992026329077, 0.5723173642597249, 0.5823081134726554, 0.5919960712587844, 0.6036020097145882, 0.6135871534258303, 0.624599877004609, 0.6347209806669711, 0.645216242628273, 0.6571459050468511, 0.6691220180000117, 0.6792220827899075, 0.6880629388834075, 0.7038092554974266, 0.7162588935932604, 0.7250860661150189, 0.7379293989803302, 0.7523572986507759, 0.7619934510038048, 0.7820605045029086, 0.7884370815877653, 0.8081715538294364, 0.8199957062372607, 0.8325054206202072, 0.8566018190259683, 0.8645223326776502, 0.8906316443062834, 0.9010643105586107, 0.9247625512305819, 0.9492743146180285, 0.9753086419753085, 0.9814814814814814, 0.9876543209876543, 0.9938271604938271]"
93,-20.84,"[0.005376344086021504, 0.01075268817204301, 0.016129032258064516, 0.021505376344126033, 0.02879592561116477, 0.06603840401510852, 0.07163042097412778, 0.09956237312304853, 0.10770585334444312, 0.13107262485443416, 0.1380072901643238, 0.15872112022985727, 0.16942258691576434, 0.18495972819440304, 0.1930736017272789, 0.21010747366737959, 0.22056644740879075, 0.23357492480512038, 0.24153099411633358, 0.2575580205069429, 0.26302959127856745, 0.27776247250730474, 0.28825020802851886, 0.29629302334014035, 0.30746328661317984, 0.31743386514611116, 0.328396501277911, 0.3375206944398159, 0.3465870941906866, 0.3560640785394623, 0.36722447043066603, 0.3743444943082072, 0.3854306475361052, 0.39374909660685636, 0.40317061575042523, 0.4110315262463366, 0.42210154495185737, 0.43062421313662347, 0.43835459201147, 0.4478238195221077, 0.4569279182045237, 0.46564194822674104, 0.47453481657633045, 0.4841197463438195, 0.49087215897734165, 0.5016660872113639, 0.509097568610269, 0.5181731517623134, 0.5282895453391828, 0.5359716431460455, 0.5451731459675604, 0.5521696529816756, 0.563958535502346, 0.5716344776484563, 0.5806784947301076, 0.5897321089391234, 0.5980788173833934, 0.6076859772333888, 0.6183762908276236, 0.6254783938650014, 0.6359606354101951, 0.6447874821663543, 0.6548176290864577, 0.66420513012296, 0.6752032988948266, 0.6841825481781701, 0.6914252790342567, 0.7067964454041369, 0.7145229501927772, 0.7245562462931915, 0.7347608235504582, 0.7501485545236872, 0.755574773702576, 0.7682816679241373, 0.7846482078045515, 0.792794040412176, 0.8026975599534316, 0.8210878812279079, 0.8296033625969611, 0.8487335387590161, 0.8563493193412932, 0.8750892860840669, 0.8921453879247231, 0.903711415625882, 0.9311137662928289, 0.9366937050933949, 0.9731182795698026, 0.9784946236558757, 0.9838709677419355, 0.989247311827957, 0.9946236559139785]"
107,-20.82,"[0.00467289719626168, 0.009345794392523362, 0.014018691588785045, 0.018691588785046728, 0.02336448598130841, 0.03386433203985776, 0.06481381494348906, 0.07266285013388701, 0.09028996825797286, 0.10792918143542474, 0.11827384555594156, 0.13486520046099537, 0.1441250082425511, 0.15727845519334946, 0.1735220570350108, 0.18157024652441214, 0.18796252614710515, 0.20726820366756185, 0.21614838288965557, 0.22228892356584756, 0.2320485414528835, 0.24725503699274257, 0.25457545892899086, 0.26416080600750425, 0.2722897638822567, 0.28059069787062335, 0.2946218424965204, 0.30066358341052085, 0.3075514320219478, 0.31747859358323316, 0.32759815965597344, 0.3354381102354088, 0.34352575221380904, 0.3515730828377814, 0.36022535680055123, 0.3681742515625416, 0.3762864963202952, 0.38521152307588324, 0.39285868553162595, 0.3994053567745492, 0.4090122192664414, 0.41656930080645077, 0.4238186253104129, 0.43144651710964543, 0.4401414647399073, 0.4474404203731134, 0.4550592896235207, 0.4626770782039944, 0.470885048375695, 0.47755045632624205, 0.48538308799493474, 0.49448970767305866, 0.5009288834853798, 0.5083638917322668, 0.5161628361760738, 0.524147012568433, 0.5316770154400721, 0.5396146866147372, 0.5466365917537724, 0.5545696259924351, 0.5627670315804518, 0.5703007405795806, 0.5780684265330325, 0.5850403824517558, 0.5944911613421792, 0.6017391972161975, 0.6093967661948868, 0.6168958702146543, 0.626084912050528, 0.6335529082799638, 0.6426081977099964, 0.649913114869764, 0.6582301108509496, 0.6670411846010913, 0.6753235254505064, 0.6848024053700025, 0.6920750159209043, 0.7026297266324261, 0.7089995248538844, 0.7208677957203824, 0.7282352604922583, 0.7394213652886903, 0.7466272220079685, 0.7590893169536554, 0.7645739653831493, 0.7799956437939796, 0.7870808379979058, 0.7996736840521704, 0.8071306715110467, 0.8226017868806944, 0.831101722748386, 0.8467459341675142, 0.8515408763615064, 0.8749818275617542, 0.8799831537612979, 0.8939519890112991, 0.9130727292801339, 0.9301535230821868, 0.9356768853095435, 0.9719626168224302, 0.9766355140186919, 0.9813084112149535, 0.9859813084112151, 0.9906542056074767, 0.9953271028037384]"
124,-20.80,"[0.004032258064516129, 0.008064516129032258, 0.012096774193548387, 0.016129032258074646, 0.020161290322634084, 0.024193548387192208, 0.02915161385686717, 0.06348987587798734, 0.06785773573131118, 0.08249688410627155, 0.09947272437565398, 0.11125289730726605, 0.11716575558503385, 0.13773251447504817, 0.142572019344951, 0.15212424322597715, 0.1676620532336602, 0.1762393755163203, 0.18309933626000946, 0.1936708718484721, 0.2064245830806749, 0.21264672982108943, 0.22167842538472682, 0.2320168883049639, 0.23728400611395234, 0.2500344286385264, 0.2572037958151369, 0.2637063149703726, 0.27051715007110283, 0.28230987353545484, 0.28861286971128425, 0.2969901114143314, 0.30301343767599614, 0.31089229220379944, 0.3193284323502505, 0.32661656164089004, 0.33399632286080017, 0.3411690363104862, 0.34815469809365995, 0.3548190896853931, 0.3626671618832627, 0.3697120542334337, 0.37676095815284405, 0.38406442526645557, 0.39061256724207544, 0.3972263231812284, 0.40136233067680027, 0.41376152537679384, 0.41864335840158373, 0.42388510715044864, 0.4302769537557401, 0.437415302945502, 0.44404240623303126, 0.4518917730415834, 0.45946328312536544, 0.4653575249096425, 0.47016846882286567, 0.4745862146142863, 0.48684624291066214, 0.4917110216608242, 0.4971043086597966, 0.5033643657456316, 0.5105840005477695, 0.5175902915489277, 0.5241698885542715, 0.5304184560970577, 0.5374453104236412, 0.543064713904675, 0.5508793042060447, 0.5570253217551377, 0.5635479065011471, 0.5704940051184949, 0.5772851821926144, 0.5839577976080169, 0.5905970574792893, 0.5977383290818031, 0.6047062948668193, 0.6105034437872566, 0.6170849844870622, 0.6272739098547678, 0.6321135726592303, 0.6381975418965732, 0.6451507871136294, 0.6550422976893554, 0.6600816806673415, 0.6681936671566432, 0.675579306732834, 0.6820943676979198, 0.6898033239156077, 0.6976818464009309, 0.7065400305541147, 0.7134144937815654, 0.7208257146721726, 0.7278248707875201, 0.736262350458416, 0.7480288483453565, 0.7555698477941863, 0.7609486294776776, 0.7654913786537396, 0.7845553957767128, 0.7912083385177812, 0.7966068864572624, 0.8009362934607424, 0.8217760014988884, 0.8273345755415211, 0.833391805562281, 0.847586335887826, 0.8571608518556542, 0.8691312046723962, 0.8818953128435111, 0.8907598635842563, 0.9020181801212972, 0.9217479991138967, 0.9334761067413699, 0.9377527193625558, 0.9717741935482572, 0.9758064516128134, 0.9798387096773717, 0.9838709677419313, 0.9879032258064516, 0.9919354838709677, 0.9959677419354839]"
142,-20.79,"[0.0035211267605633795, 0.00704225352112676, 0.01056338028169014, 0.014084507042253521, 0.017605633802816902, 0.02112676056338028, 0.02464788732394366, 0.02816901408450704, 0.060318690897306494, 0.06627229968076208, 0.07632481256800822, 0.09010162067465091, 0.09971762915243848, 0.11603137403274667, 0.12128926430385391, 0.1320554632393885, 0.13932033570332747, 0.15247099236326128, 0.1617825541275489, 0.17122615381336642, 0.17868431992300152, 0.18266689471200698, 0.19663461320349626, 0.20193592026599416, 0.21421027918315425, 0.21981757863693757, 0.22604323866954387, 0.23417579311828138, 0.2395075457835884, 0.2506252854482819, 0.25820221910945484, 0.262522006720141, 0.2729738084574241, 0.27770897446292464, 0.28401679017061515, 0.290988072310902, 0.29626152281897467, 0.3074611443892171, 0.31213114858562147, 0.3177864111152299, 0.3248087515539019, 0.3307906523562578, 0.3379976838684381, 0.3434753541972949, 0.35043953343947715, 0.35646517646022724, 0.36218497176026665, 0.36877568267902017, 0.37468096469628126, 0.38112738306747834, 0.387468599433288, 0.39268255620159764, 0.3990845418278724, 0.40458272968696196, 0.41206104338212685, 0.417050940938113, 0.4222050625958663, 0.4278194461772059, 0.4345310057883495, 0.4404389247710295, 0.44616893706578986, 0.453120945304792, 0.458416357997151, 0.4635962707781972, 0.4686883598516771, 0.4729211735866331, 0.48143863032606116, 0.4870043926080288, 0.49249034064411124, 0.4981598182803281, 0.5060447239876522, 0.5103176936103934, 0.5146041633878743, 0.5183630518107907, 0.5280096829922899, 0.5328347313938454, 0.5377424279827043, 0.5433108535777189, 0.5532930880985373, 0.5574215305851716, 0.5609852970122045, 0.5646854523803451, 0.5733392506625957, 0.579999734704826, 0.5854758448622962, 0.5909920091505328, 0.5972528547265248, 0.6025692896127192, 0.6090178200772295, 0.6152460950685762, 0.6212200849329604, 0.6269411892943286, 0.6338624940551537, 0.6398086227833425, 0.6458260804115119, 0.6508587126609251, 0.6576765855594912, 0.6647410643986458, 0.6710637386820459, 0.6777948838671569, 0.6846297718684782, 0.6909543828151682, 0.6966829345384927, 0.701882669696309, 0.7086776927820719, 0.7200935771573391, 0.7249195699251862, 0.731916176800428, 0.7371481752275965, 0.7458640765431221, 0.7504336114389292, 0.7620244711729534, 0.7656514384456408, 0.7771661733092019, 0.7813652302769558, 0.7933873710382024, 0.7993694138733035, 0.8036607444752427, 0.8150384353310544, 0.8264545091408305, 0.8316919905790912, 0.8408733919092949, 0.8514628329819673, 0.8610425294868176, 0.868498959420466, 0.8798708991560448, 0.891473350805687, 0.8993017971364903, 0.912984145405866, 0.9257437095628407, 0.9323644920301591, 0.9504608245686806, 0.971830985915493, 0.9753521126760564, 0.9788732394366197, 0.9823943661971831, 0.9859154929577465, 0.9894366197183099, 0.9929577464788732, 0.9964788732394366]"
164,-20.77,"[0.003048780487804878, 0.006097560975609756, 0.009146341463414635, 0.012195121951219513, 0.01524390243902439, 0.018292682926829267, 0.021341463414634144, 0.024390243902439022, 0.0274390243902439, 0.05319644949739138, 0.0626866205619797, 0.06690222061663112, 0.07729850072396785, 0.09379279509606622, 0.10084154237711451, 0.108694845522034, 0.11876500074778842, 0.1279242320194351, 0.13816629350399592, 0.14346308900023644, 0.14979580422304295, 0.1611730646904671, 0.1697592972855258, 0.17915763140690705, 0.18274755807828783, 0.18585324375843948, 0.19733620503209984, 0.20769515787757234, 0.21330075534534362, 0.21800448579126463, 0.22378147840399165, 0.23069106522780536, 0.2387264294188386, 0.24621860728197673, 0.2511596895499082, 0.25727939795822935, 0.2641908987578798, 0.2702811190101938, 0.2751937647463746, 0.27961831403378246, 0.29035409265533996, 0.2945465019813882, 0.29905121678571045, 0.30464146191819674, 0.31052398037223194, 0.31678311510227697, 0.3228011447723624, 0.3280730581317412, 0.3338113165138504, 0.33902335739310835, 0.3443440861697016, 0.3500099988831588, 0.3549680899385722, 0.3609169490908265, 0.36615169789228946, 0.37182030312185377, 0.37681934111055365, 0.38221983367950796, 0.3875629220862137, 0.3917655064834727, 0.396081790105951, 0.4032910098401757, 0.4085500680846899, 0.41371300642490955, 0.41882370268822516, 0.42331401803761776, 0.42787144306872466, 0.432736557266886, 0.4376431493788163, 0.4434061024713907, 0.4492915822917045, 0.45448904966111486, 0.4598620282219502, 0.46438391401688944, 0.468428740468715, 0.47196938821474155, 0.4750979473076527, 0.485606847163455, 0.490977386784572, 0.49531996893647057, 0.49903438052324045, 0.502299014422876, 0.5067475836659621, 0.5103880061702212, 0.5209216260807951, 0.525448496947032, 0.5296146311056171, 0.532713376084335, 0.5375352847525272, 0.5428073119146312, 0.5483271933623656, 0.5536898485033644, 0.5588908861609357, 0.5641047243305944, 0.5685463834675786, 0.5738535905494333, 0.5788880168648026, 0.5845302312082158, 0.589035602742994, 0.5940947300029314, 0.5992796498993024, 0.602772127965154, 0.6114086998489786, 0.6158229233357191, 0.6203601808431525, 0.6240384035038343, 0.631366399459047, 0.6357388034742406, 0.6414265568863341, 0.647005319320067, 0.6522135896866204, 0.6576166950368767, 0.6633498336817333, 0.66802054845564, 0.6745919306770495, 0.6800251927713191, 0.6852429572126222, 0.6909494367167793, 0.6975274071031019, 0.7027881003908178, 0.7078299094911255, 0.7138848597222012, 0.7204718906619665, 0.7255983257136275, 0.733950564563667, 0.7392472689389245, 0.743319580454355, 0.7515160623257876, 0.7571930490424753, 0.7636616614941116, 0.7674527082863332, 0.7785713372511635, 0.7863860584276989, 0.7915816385496647, 0.7965719449755062, 0.8005687959422347, 0.8100240227868657, 0.8239748854272176, 0.8278978099652775, 0.8332298909216682, 0.8379646303979013, 0.8491723018431705, 0.8599263824135472, 0.8654802256472943, 0.8756979907810879, 0.8838378195911685, 0.8906595634403579, 0.9003183005580038, 0.9127455432416811, 0.9261875276162947, 0.9306852899769958, 0.9339257150707315, 0.9695121951219512, 0.9725609756097561, 0.975609756097561, 0.9786585365853658, 0.9817073170731707, 0.9847560975609756, 0.9878048780487805, 0.9908536585365854, 0.9939024390243902, 0.9969512195121951]"
188,-20.76,"[0.0026595744680851037, 0.00531914893617021, 0.007978723404255317, 0.010638297872340424, 0.01329787234042553, 0.015957446808510637, 0.018617021276595744, 0.02127659574468085, 0.023936170212765957, 0.026595744680851064, 0.02925531914893617, 0.05644685601522695, 0.0667413761691507, 0.07047570940840255, 0.07911290911389933, 0.08794200474308242, 0.09886982600862947, 0.10806458001587844, 0.11482732476510168, 0.12292104708403698, 0.12740716118926843, 0.13669047419507208, 0.1449955037426284, 0.15051123384122167, 0.15918530742922923, 0.16522051998400203, 0.17374636033393867, 0.17994766360373776, 0.183383000954539, 0.18776367239978792, 0.19580204934682038, 0.206417434928884, 0.21262354997802443, 0.21628407391131346, 0.21942621429434458, 0.22631072006643185, 0.23230482756128934, 0.23942574645460918, 0.24599557344352568, 0.2491986386906421, 0.2540768935061167, 0.2612631406056931, 0.2666384718418492, 0.27225862536169937, 0.2768208676038238, 0.28141397223502934, 0.2868827976455571, 0.29188823175092277, 0.29987897168060074, 0.3028032969847392, 0.3074082859173309, 0.3117651034998448, 0.317045265030104, 0.32228631599266794, 0.3270430549642247, 0.33193783359958323, 0.337244877633808, 0.34234917279557653, 0.3466639513530566, 0.35106538090414585, 0.3557049447218638, 0.36036954483816347, 0.3652047211922875, 0.3699466897121673, 0.3746742601568861, 0.3799132302155836, 0.3845924120290375, 0.3893071790027182, 0.3927483939530981, 0.39633480046625896, 0.39919292681041807, 0.4067783366587406, 0.4102538346349828, 0.4175888238896502, 0.4203312799761304, 0.42403694070375797, 0.42855898740993426, 0.43303850498051116, 0.43763991792025453, 0.44164160036885, 0.44640103985411805, 0.4505317058760148, 0.45510177418991127, 0.45949863397742857, 0.46422940452289013, 0.46851079816168306, 0.4730563799042833, 0.4759496012416562, 0.4795933957098392, 0.4852437085810481, 0.49247468603544803, 0.4952579642063761, 0.49929009295345844, 0.5025670689795957, 0.5058568918547593, 0.5108072088568563, 0.5158488508830331, 0.5207664306506947, 0.5256392685479221, 0.5293663725884342, 0.5334845180041925, 0.537947332769003, 0.542377586704175, 0.5464593478867067, 0.5506373880182525, 0.5551913537705208, 0.5596169604838811, 0.5638560609771566, 0.5676457956904338, 0.5728531679067758, 0.5784398840334064, 0.5835260989550664, 0.5876281645722689, 0.5910589850338641, 0.594599982576352, 0.5981857393148627, 0.6027122373759202, 0.6076010028826371, 0.6146796427205123, 0.6193264228286118, 0.623443878687763, 0.626966358647297, 0.6317965258372497, 0.6361170503948398, 0.6406840032569857, 0.6457325822664837, 0.6501477454269623, 0.6543967665748018, 0.6601439646162267, 0.6652802621905332, 0.6696747438887044, 0.6746698323322629, 0.6793434272475339, 0.6845087663005485, 0.6896481323869194, 0.694358198055956, 0.6987135323618213, 0.7031420761419085, 0.7084253788815751, 0.7144877024277434, 0.7203280743289983, 0.7256265972036516, 0.7313857672137876, 0.736042093900798, 0.7402276047578149, 0.7445411859507508, 0.7510785539771223, 0.7584264367666422, 0.7640943092508349, 0.7677345417420568, 0.7720179149296651, 0.7836597363942946, 0.7884369084862373, 0.7922118912948689, 0.7963743950746338, 0.7999945758956831, 0.8100856381736816, 0.8214118943531955, 0.8247490858277067, 0.8287903856581899, 0.834931154814473, 0.8426844829721871, 0.8502788879666021, 0.8589122917464714, 0.8672030520098408, 0.8705869158432035, 0.8800054364693269, 0.8859601857043269, 0.8947466673639733, 0.9036461440140718, 0.913895262830828, 0.924227125513782, 0.9285595195582624, 0.9355144229085605, 0.9483757331956192, 0.9707446808510642, 0.9734042553191493, 0.9760638297872344, 0.9787234042553195, 0.9813829787234045, 0.9840425531914896, 0.9867021276595747, 0.9893617021276597, 0.9920212765957448, 0.9946808510638299, 0.9973404255319149]"
