N,SLL(dB),POINTS(without 0 and 1)
10,-12.37,"[0.3154396711068202, 0.3920913007895228, 0.5208050645169084, 0.570805064517361, 0.672842862761936, 0.7600448942783826, 0.8343916083682866, 0.9207558913170683]"
11,-12.88,"[0.3063517073653405, 0.38332653234798286, 0.49197162137122863, 0.5518381285861209, 0.6272796581255328, 0.7129230902055934, 0.780607201495426, 0.8541280265902843, 0.9417952172940462]"
13,-14.53,"[0.26869700787377176, 0.31754902716503086, 0.4188552145084636, 0.47302611984983317, 0.5331098601850812, 0.6128450055376576, 0.6637367405692984, 0.7371992413404096, 0.8013093075566241, 0.8667532203232174, 0.9260002026237403]"
15,-15.67,"[0.2358500152379266, 0.28799165119864034, 0.3764071180958424, 0.4165329866773994, 0.4816127787414098, 0.5461583644958004, 0.5957075016548418, 0.6577331488879119, 0.7159242462058464, 0.7712658118402854, 0.8261825808374744, 0.8884656419285151, 0.940550962311973]"
17,-17.11,"[0.17320640010260457, 0.2743429691278818, 0.32084176894447286, 0.3815318923178734, 0.43287463695741285, 0.4942820321438371, 0.5437310799391353, 0.5988771084804397, 0.6494984431988934, 0.7074640513676549, 0.75494371830988, 0.7986678128773766, 0.8587672038398053, 0.9090351445212246, 0.9533657152518431]"
20,-17.61,"[0.09286418189054799, 0.23161499497783247, 0.2712254441596376, 0.33353058886388953, 0.38334461435489053, 0.4261370885510725, 0.46967579620247163, 0.5214318926990196, 0.5646987376924241, 0.610189708563979, 0.6543334699839622, 0.6988568733276306, 0.7428783811860542, 0.7863022596257548, 0.8274393263685609, 0.8725066035615011, 0.9186529363511414, 0.9605120907102797]"
23,-17.72,"[0.09838579371812488, 0.20976783811665164, 0.27594582121231226, 0.317717692843412, 0.3509002071473925, 0.394055794079814, 0.4349181015178042, 0.47035401153445916, 0.5163533401847505, 0.5531219369544496, 0.5926487002696932, 0.6305235972752637, 0.6737632076558885, 0.7107521251108714, 0.7555202937043732, 0.7851277305977397, 0.8175148006110616, 0.8474085068272637, 0.9177843621008601, 0.946353315982682, 0.9745944219695132]"
26,-18.22,"[0.08777789037144314, 0.18489540721676387, 0.22374126255427665, 0.2942077818412727, 0.3304206741192448, 0.3597041249406147, 0.4007046908298709, 0.43495701220820904, 0.4694726395805037, 0.5036043235651004, 0.5374426348766513, 0.5684562245910018, 0.6036075804301296, 0.6365821860786609, 0.6713108941858055, 0.7032754723288196, 0.7383371734171706, 0.7712485458106795, 0.8108351168617407, 0.838048062446445, 0.8932007348739605, 0.9256851222074313, 0.952505569188607, 0.9748193731048929]"
30,-18.56,"[0.0907286719428381, 0.17924448529125622, 0.22129043623068553, 0.24088646145372072, 0.2926628848121612, 0.3387377742117738, 0.3643716215669072, 0.3924521802977704, 0.4228074394098489, 0.45312449468329097, 0.48653083227271504, 0.5127497482505847, 0.541297508752874, 0.5580315941953528, 0.5833708353150301, 0.6145341528550999, 0.6468387165952837, 0.6775355658490586, 0.7068731412112992, 0.7364184323168301, 0.7685005068634047, 0.808103450766501, 0.8387765912464104, 0.8699206345003283, 0.9034630018226885, 0.9333455771352471, 0.9637244210760209, 0.9833333333333333]"
35,-19.34,"[0.0706718360065421, 0.13514183700740046, 0.18507116136913962, 0.21241582087299613, 0.23882707896224564, 0.28994170050024576, 0.3246764055397236, 0.3434855843389186, 0.36892731777988447, 0.3937281156448751, 0.4205150731798323, 0.4472625027293013, 0.47132612606615526, 0.4925611470017704, 0.5150206463195613, 0.5398850727218968, 0.5615961952376067, 0.590388835027701, 0.6113361864884646, 0.6348568509705418, 0.659746836095338, 0.6858649280992667, 0.7083674266263578, 0.7334883842177937, 0.7586503446387003, 0.7873748227249447, 0.8150135569604054, 0.8683506830939653, 0.8940117539379573, 0.9156504195300273, 0.9490199615219568, 0.9714156274882665, 0.9857142857141616]"
40,-19.85,"[0.045904529611260854, 0.11254376689218289, 0.13101961652166252, 0.18965899234015143, 0.21361058463408392, 0.2362947558629612, 0.2782274404503926, 0.3012086946778638, 0.327505731475672, 0.3478734861469956, 0.3704382134003932, 0.3927065725570361, 0.418866465438733, 0.43927424522923597, 0.45841362811683073, 0.4782241939789718, 0.49879188027790194, 0.5171648105059479, 0.5411891337229, 0.5610958963057484, 0.5823119694833586, 0.6041142665811401, 0.6226003634213669, 0.6450369048046574, 0.6637330470701156, 0.6880897261008483, 0.7108257524877498, 0.7343878451362394, 0.7594694117326619, 0.7804130639324238, 0.8042266176214563, 0.8291491052830928, 0.8669072347745056, 0.9080721349155643, 0.9328994441028255, 0.9548954392805673, 0.9747329546778236, 0.9875]"
46,-20.02,"[0.03068463345558509, 0.09395909488908315, 0.11137408781774269, 0.15444855713250216, 0.1936506960071459, 0.21431075391248416, 0.2300482618293639, 0.27193233449656323, 0.29169441508831234, 0.3111492760298057, 0.3309252608526454, 0.3527683023239218, 0.3735490632522828, 0.39208705254335297, 0.41070163099294804, 0.42969985601293775, 0.44797888980826867, 0.467777264539965, 0.485873732384295, 0.5020377415440715, 0.52155338306178, 0.5389227395051528, 0.5555515212687677, 0.5738100251651111, 0.5892317894025009, 0.6089892333699716, 0.6267381140051925, 0.6456752327607332, 0.667044640775105, 0.6847983868192934, 0.7047586289053092, 0.7220268545381249, 0.7436803263669465, 0.758267820613139, 0.7901961914141541, 0.8131281548687997, 0.832500516942356, 0.8491217269502481, 0.889414647523471, 0.9305821761734264, 0.9475298816986116, 0.9673913043478259, 0.9782608695652173, 0.9891304347826086]"
