N,SLL(dB),POINTS(without 0 and 1)
53,-15.83,"[0.00508824697601442, 0.00980522810811164, 0.016900308204428123, 0.03347848895019206, 0.04236443676569408, 0.09022705853254417, 0.10297273030632548, 0.13604751272429072, 0.18156704179562871, 0.20009978890164493, 0.23253223111821644, 0.24405011305069263, 0.2690433787591781, 0.2856413454849703, 0.31475043934791863, 0.3346751072447393, 0.34352219775228787, 0.36913580734858803, 0.39179145712882557, 0.406492924053878, 0.41369893296623295, 0.44218685177675715, 0.4633679825318336, 0.4706041249198032, 0.4890572683384439, 0.508591622814028, 0.5292362848808848, 0.5518080406681771, 0.5681463440631699, 0.5754508329625775, 0.6096547479474806, 0.6281070738411167, 0.6440167108506952, 0.6628029954053415, 0.6819964831900766, 0.698551626163209, 0.7257274629114193, 0.7367615483351446, 0.7568000305506976, 0.78413345928042, 0.8118761867512702, 0.8227777784234614, 0.84774955545177, 0.8655031917051874, 0.8738394314077386, 0.9289818096032335, 0.9452504645146427, 0.9758889722986337, 0.9847549696207912, 0.9900350071921573, 0.9948485251691981]"
61,-16.41,"[0.004509080066256983, 0.008659669856458364, 0.012889912650871938, 0.019519172809652582, 0.03488820174702483, 0.07113517828445932, 0.09136996474309435, 0.11849094655837714, 0.1418274930287015, 0.16037793944351095, 0.1904921018463182, 0.19902644628081595, 0.21591225168315867, 0.24371390468443266, 0.26282904472787955, 0.2825823391780659, 0.2974261914446089, 0.3108550491359617, 0.3225687976144651, 0.3512182768513478, 0.3638269496026759, 0.37894874193339584, 0.402538436653814, 0.4093119755667667, 0.42800981056155196, 0.44109645896549265, 0.45694742169806724, 0.46957164539800506, 0.492064472378891, 0.5054721302712613, 0.5221487867329309, 0.5283477919340253, 0.5470584754337896, 0.5675956521340488, 0.5820298811573531, 0.6014896118864073, 0.6167181984948901, 0.6239941597046533, 0.6432355993431895, 0.6596551692036495, 0.677188245468781, 0.6926950027247312, 0.7141129539591949, 0.7231590605980757, 0.7546550362910197, 0.7619045847433134, 0.7761720197660665, 0.7999547164892269, 0.8261668964840182, 0.8472698065144104, 0.8585331642769028, 0.890933816255732, 0.9130273710739142, 0.9516716637739014, 0.9585752788075217, 0.9780643277751114, 0.9860912808421283, 0.9917783926600396, 0.9958786944474378]"
70,-16.96,"[0.0035714285714697207, 0.007142857142948712, 0.011588776985497543, 0.016705298332866342, 0.03421882171200549, 0.040387005983962804, 0.06883365480288003, 0.09632123517273737, 0.12182354172516326, 0.13844057508453753, 0.1578361362040439, 0.1715582896673744, 0.19900873232763636, 0.21832746129498523, 0.22507501709301242, 0.24025258855386397, 0.25770159407797505, 0.27556054908959954, 0.2891289929463306, 0.3037558188528512, 0.3165867830135834, 0.3360306087800557, 0.34661999518236514, 0.35799272365166773, 0.3742401840595792, 0.39109549611143246, 0.3967367062702664, 0.41684054854145725, 0.42778464387167386, 0.4418681153025796, 0.4555822496032358, 0.4752563729740621, 0.4826981329380176, 0.4880470740306406, 0.5139255072363464, 0.5209700512607963, 0.5327761385980548, 0.5506992213375449, 0.5628771132566474, 0.5698189236885551, 0.5883855447735775, 0.5974187151359263, 0.616610303117637, 0.6265363632276573, 0.6367452246562871, 0.6593328893723313, 0.6701318953832099, 0.681375818157608, 0.7020803678029467, 0.7159915607705758, 0.7233985816235297, 0.7429815539067713, 0.7637985835426897, 0.7788810705839785, 0.7933933885737504, 0.8141083229281643, 0.8278815053190235, 0.849611609361887, 0.8631658657104715, 0.8884092815731048, 0.9044216930730614, 0.9262557232668059, 0.9539836176723462, 0.977452090004183, 0.9832002229207958, 0.9892012020793026, 0.9928571428571352, 0.9964285714285714]"
81,-17.56,"[0.0030864197531025434, 0.006172839506188963, 0.009776821387872964, 0.015152180449265385, 0.02075483457155772, 0.026658604740050933, 0.05555152045166345, 0.07616365319859666, 0.0970464442656886, 0.11957864171405733, 0.1270761974236423, 0.1467107938096438, 0.16511356250529755, 0.18224290769887366, 0.20010293278778457, 0.20614523394393788, 0.2294395508638237, 0.23715876770818548, 0.25048523761815006, 0.2679358735376113, 0.2827706569812479, 0.29035011197128996, 0.3052130079043506, 0.31598188462020765, 0.3348461150605178, 0.3443466037501198, 0.34923291888723873, 0.3600198292760041, 0.37890918186374184, 0.38899302059040153, 0.39972034230659587, 0.4182309569898822, 0.42154638168057756, 0.43213759009320935, 0.448262023409996, 0.4562705831976559, 0.46904143444622154, 0.47880703396015917, 0.49056467364677786, 0.5036098286309514, 0.5098738499571482, 0.5262541232116624, 0.5370523010009709, 0.5453367873778031, 0.5555221941518556, 0.5691722370556422, 0.5830284101096139, 0.5917171962970216, 0.6041138394363258, 0.6167858195359606, 0.6233517966885981, 0.6329668931134922, 0.6496710129464609, 0.6635759729847464, 0.6741459301776541, 0.6863243722077863, 0.697449792325171, 0.7124058987317134, 0.7252932462585528, 0.7371012160756536, 0.7480742887810881, 0.7620645949552628, 0.7820799631249901, 0.7878644177774423, 0.806272608786088, 0.822465920298171, 0.840824762104239, 0.8465766985412201, 0.8638419308886577, 0.895650368942976, 0.9002975256589802, 0.9236046549904458, 0.9424646789082712, 0.9712312622682049, 0.9823786717320052, 0.9867840379064606, 0.9907407407407155, 0.9938271604938271, 0.9969135802469136]"
93,-18.14,"[0.0026881720430220525, 0.0053763440861308315, 0.008064516129227142, 0.010798363741477149, 0.01414044708375805, 0.02637821722694334, 0.03830116733260366, 0.06483628750852238, 0.07877558305270944, 0.10324432618922043, 0.11457524102540279, 0.12920603910602008, 0.14132824465289198, 0.16133037388511973, 0.16806814956787391, 0.18258222291640847, 0.19834204993611448, 0.20892052101613254, 0.2242784924825752, 0.23114248391430908, 0.24787870839728343, 0.25311398305434624, 0.26686528246341884, 0.2853794701465688, 0.28960325440073453, 0.29939146716827486, 0.309703048761718, 0.3263741750923359, 0.33609308071119554, 0.34056627264595996, 0.35894901513298083, 0.36274616761812256, 0.3733243006227993, 0.3831895325912837, 0.39870389589139515, 0.40546976441161453, 0.41424000732704197, 0.421770602464079, 0.43283050273360757, 0.44775383173390276, 0.4523469448979472, 0.4613979858745906, 0.47195989402716193, 0.4816873966994876, 0.4895494904288273, 0.4986004504135684, 0.5118528733475679, 0.5159101168432798, 0.5319307190333163, 0.5410001132716898, 0.5447588887277305, 0.5593414222846748, 0.5681153256754347, 0.5774580144119216, 0.5854445387257409, 0.6026792144739033, 0.6072331995749373, 0.6130224896926892, 0.6250046173558484, 0.6386796672132551, 0.6490911150397214, 0.6540527322352604, 0.6676178896817576, 0.6786010849655142, 0.6875617414957709, 0.6981634913385991, 0.7081282144591549, 0.7235814731599846, 0.7278314384702496, 0.7450828369854248, 0.7495015158433409, 0.7704097264115928, 0.7787626675303064, 0.788041844854992, 0.8029770782456908, 0.8221660085999447, 0.8258314014966585, 0.845341376039095, 0.8560093082101626, 0.8773161626285277, 0.8909957982903056, 0.90764216732311, 0.9220271411652782, 0.9363868575028264, 0.9648154046326357, 0.9779633352360793, 0.9826716067421524, 0.9890091295603883, 0.9919354838709433, 0.9946236559139541, 0.9973118279569876]"
107,-18.69,"[0.0023364485981465254, 0.004672897196277366, 0.007009345794408208, 0.00955242630953444, 0.012352873161137798, 0.016131997155557985, 0.028051695165382716, 0.0492930784207366, 0.06529143922054965, 0.07981763553575576, 0.09552452973665633, 0.11029075550134178, 0.12529652197461685, 0.1372106300913117, 0.14542241978463405, 0.16775637052717482, 0.17159964372541095, 0.18922770875656064, 0.19967231228037738, 0.20637513532877302, 0.21543734028909844, 0.2342851020413578, 0.23980507586949076, 0.24955499420335664, 0.25720536163027746, 0.27127082864537366, 0.2813192971934503, 0.2886587330689026, 0.2978448542388864, 0.3091084334960464, 0.3208196827615843, 0.3284182017636873, 0.3357380276714768, 0.3441746662918958, 0.35318225974935025, 0.3611846802639518, 0.3730611672915382, 0.3784760009753897, 0.3904137295027082, 0.3977161092435511, 0.4049271905621701, 0.4130004406751561, 0.4195865814260835, 0.4326912360743972, 0.436565365467352, 0.4502153100152959, 0.4557156009753913, 0.45985722248109984, 0.470050806464593, 0.4773292185501991, 0.4893772736531216, 0.493427333836977, 0.5041854175240071, 0.5127802681298991, 0.5175682917466895, 0.5253613245965795, 0.5383942664148779, 0.5426233270890389, 0.555103539093868, 0.562507814627585, 0.5713257999277005, 0.5748693647016804, 0.5843292977397287, 0.5933332140595048, 0.6078141470194028, 0.6112679251824039, 0.61986725570651, 0.6298346760848511, 0.6361162451091161, 0.6406107490081758, 0.6590679667739086, 0.6632584559661365, 0.670847798774358, 0.6841138149847804, 0.6920424328499605, 0.695192523227249, 0.7077520823111652, 0.7194540829607732, 0.7263528597516822, 0.7371928681100647, 0.7472709280654312, 0.7504061951749051, 0.7688032834637825, 0.7779377186847066, 0.7885063028308784, 0.7953606311744549, 0.8081818148243781, 0.8215018242519408, 0.8390418158543738, 0.8434680780273054, 0.8468698823719963, 0.8694478683017438, 0.8817788716024157, 0.8948362931306407, 0.9070922758747425, 0.9212913214054812, 0.936741816583038, 0.9556599221314733, 0.975761771516036, 0.9841894492819111, 0.9881419293559834, 0.9906542056074583, 0.9929906542055892, 0.99532710280372, 0.9976635514018691]"
124,-19.23,"[0.002016129032310234, 0.004032258064595454, 0.006048387096853519, 0.008064516129111583, 0.01008064516139303, 0.01267047190370568, 0.017672270086213315, 0.028191443338665655, 0.04789355370350021, 0.0665005355470015, 0.07595098266864125, 0.0909591372723802, 0.10289123385802613, 0.11477637032032485, 0.12787591676614635, 0.1347138812347409, 0.14668289062269202, 0.16313082994234437, 0.16565210759838433, 0.17544225133419467, 0.1901633983984754, 0.20261361722522547, 0.20627229602859792, 0.2131003771028508, 0.22452508839184476, 0.23639696694678655, 0.245728477450833, 0.2511440206346573, 0.25963543588431565, 0.27163621632905616, 0.27795278764672304, 0.2891809604567789, 0.2958814052906899, 0.2988121634816259, 0.30675178273865156, 0.3202563104669574, 0.32619368769231255, 0.33319821758641854, 0.34237990262286944, 0.3458144148208211, 0.35350543878785634, 0.3605306452001821, 0.3726901003644598, 0.37642621405932586, 0.3866639886543003, 0.39282615095868645, 0.40016947260950325, 0.40350580090988714, 0.41567249071897494, 0.41915666805745083, 0.42673536852968075, 0.4358912350503854, 0.44263324383483627, 0.44669896027021355, 0.45650731824690693, 0.46628937249062447, 0.4690817211935531, 0.47236884161417203, 0.4861548554962098, 0.4893073694396665, 0.49831862720223646, 0.5069874022459349, 0.5101818035968863, 0.5142056025380515, 0.5264306702820746, 0.5340448977075175, 0.5370946061882972, 0.5487609991388124, 0.5528525621000191, 0.5591012943726889, 0.5674530624404854, 0.5721537235089078, 0.5800562166999619, 0.5915405220056592, 0.5944474710623633, 0.6027380613934128, 0.6074689920047761, 0.6191302847809599, 0.6246413532804115, 0.6310517341255163, 0.637631332564247, 0.6445838416532642, 0.6534412135190633, 0.6606156733732771, 0.6706190342918953, 0.6765478978371301, 0.6832896214763087, 0.6917332685522299, 0.700074971151322, 0.7086751258117423, 0.7178371993834949, 0.7225579261595246, 0.7319847706248638, 0.7462257599484967, 0.7490617692648717, 0.751980791046044, 0.768285133650629, 0.7725974009991817, 0.7824111706879826, 0.7954076820578082, 0.8028632599212426, 0.809404161316529, 0.8241192630096892, 0.8279673865136995, 0.8457887416913636, 0.8525353941730716, 0.8597097789800293, 0.8759981750156697, 0.8863166372910752, 0.9008603266450137, 0.9118502122973026, 0.9222043025910203, 0.9356317468252302, 0.955054292835223, 0.9643910869677133, 0.9801209491779962, 0.9873050322843462, 0.9899193548385918, 0.9919354838708884, 0.9939516129032256, 0.9959677419354838, 0.9979838709677419]"
142,-19.79,"[0.0017605633803067773, 0.0035211267605884675, 0.005281690140870158, 0.007042253521180795, 0.008802816901469538, 0.010563380281751227, 0.012695019410471738, 0.02470370131291688, 0.036756058891011946, 0.05236514411817073, 0.06585414334123106, 0.07531790880893097, 0.08387919084753301, 0.09899239021298006, 0.11212892580651972, 0.1195819469775882, 0.1291488945953668, 0.13667173351338766, 0.14677298201612188, 0.1607785112358231, 0.17018543288399282, 0.17400274359703918, 0.1768133767616824, 0.1949401191766584, 0.19959049244350052, 0.20860106394641295, 0.2181545112704778, 0.22382367042385343, 0.23441516239766136, 0.2368336128652341, 0.24737190877156232, 0.2562241116757158, 0.2612730976668467, 0.2716070544336752, 0.2750323777866437, 0.282103432719251, 0.29127804758859055, 0.29744034537254627, 0.3052534801809587, 0.30912369923716787, 0.3172920134215108, 0.3253638466257659, 0.33173556300459156, 0.3383326740815919, 0.3463510142945671, 0.3489854174522768, 0.35531852941066716, 0.36156297692092987, 0.3710539986039274, 0.37426806542171515, 0.3835333322324727, 0.38973636651318094, 0.39303315631637653, 0.40071426755845635, 0.4058876185335626, 0.4143039694291719, 0.4179818889968668, 0.4250382013180995, 0.4345971821632723, 0.43896209084940735, 0.4416596256665037, 0.44913527922502794, 0.4556934252989308, 0.45974959953689304, 0.46611349883659847, 0.4781219797783729, 0.4814007274874278, 0.48405371137168807, 0.4878124214224164, 0.4942799182209688, 0.5076111630912861, 0.5097803006450394, 0.5155440072590872, 0.5190187224312409, 0.525437089818598, 0.5352708754347533, 0.5385403863224779, 0.545334287093604, 0.5498407521710988, 0.5574800307010943, 0.5658100281448548, 0.5677852873113405, 0.575270460513722, 0.5809778978673452, 0.5877884832145608, 0.5941133457251423, 0.6000521113978984, 0.6051076420457409, 0.6125145812908087, 0.6155011479085257, 0.625934398184393, 0.6311136407395567, 0.6370847951842059, 0.6423213089398094, 0.6482908415537602, 0.6577905744629458, 0.6639683127790654, 0.6706054613369895, 0.6765304662486209, 0.6798206093453674, 0.6922964235832553, 0.6960658422208418, 0.7027118243423928, 0.709051943910129, 0.7168793068793016, 0.7228142635409553, 0.7320102889034166, 0.7424803676663759, 0.7458901206210008, 0.7487120241280845, 0.7604991163732996, 0.7694423513153087, 0.7781238559575971, 0.7831354568446116, 0.7939799109518718, 0.7965141469691928, 0.8100814423748968, 0.8166006416106647, 0.8215237575517005, 0.8387786656702116, 0.8422482565597763, 0.8517548008841058, 0.862163538627062, 0.8722913948024582, 0.8820200136593829, 0.8919654733082562, 0.9085367648264081, 0.9109036246346102, 0.9242826078532969, 0.9366325341477536, 0.9507189439528972, 0.969341769751273, 0.9778108580426484, 0.9866707860352331, 0.9894366197182908, 0.9911971830985913, 0.992957746478873, 0.9947183098591548, 0.9964788732394365, 0.9982394366197183]"
164,-20.19,"[0.0015243902439308304, 0.0030487804878560477, 0.004573170731758487, 0.006097560975690145, 0.007621951219592826, 0.009146341463495265, 0.01074017244634366, 0.013500787842741311, 0.023666599434593073, 0.032667630294208855, 0.049903729061653315, 0.05905122395494467, 0.06896274040854697, 0.07963079295010263, 0.08722002825112907, 0.10155679713570087, 0.10749197608443856, 0.11970859913535523, 0.12555309970786904, 0.1343613687593858, 0.1430693615540066, 0.14723048766828706, 0.16553593270831166, 0.1680223499800857, 0.1710301255078858, 0.17728272089022995, 0.18609572654423137, 0.1993768178722847, 0.2017277525578166, 0.21150387437546544, 0.2172414808026794, 0.22546913542549044, 0.2312083997795894, 0.23676173420873747, 0.24419450572628443, 0.24902463489151436, 0.2574127570698311, 0.26443472837919174, 0.2702467860598806, 0.27560867729894317, 0.2817223162219736, 0.2861655973244856, 0.2945015136439972, 0.2992450671399544, 0.30544756608345597, 0.3112990911397347, 0.3169580683253667, 0.3225398288246197, 0.3293873067091789, 0.3346329835860571, 0.3368577226470875, 0.34668116893048506, 0.3516414105840853, 0.354521245115993, 0.3626123201438022, 0.3645952584930765, 0.3715386738975903, 0.37663254361012355, 0.384522165150265, 0.3888375772839187, 0.3937351626026763, 0.39880097477811516, 0.40556094693152533, 0.40785725964712216, 0.4157801279912065, 0.421216826585858, 0.424095471051992, 0.43258757063342906, 0.43554094245827657, 0.43754407697812825, 0.4480539156592207, 0.45000853475856784, 0.4567727993373729, 0.4615572945380655, 0.46532645855977217, 0.4717940315962882, 0.47924230124163614, 0.48160225159669756, 0.48477137077779825, 0.49309341417854274, 0.4952295401920715, 0.5049940753970991, 0.5101447463574958, 0.5135393043252482, 0.5158845047318844, 0.5187492855308131, 0.5287015768605383, 0.5353220036086738, 0.5373552505652822, 0.5440831316145505, 0.5474560270976581, 0.5522820081221187, 0.5578794949923398, 0.5658745662387673, 0.5702363819955055, 0.5736797512793917, 0.5767647892813258, 0.5865059836645735, 0.5888576098941136, 0.5971204236451407, 0.5995022974335144, 0.6078938622838039, 0.610499134599958, 0.6166473713133305, 0.6192297043872286, 0.6270881975517031, 0.6320871861082099, 0.6394612635615626, 0.641781703522898, 0.6501923425642014, 0.6530518829491403, 0.6613784814382542, 0.665239495434501, 0.6727444429335984, 0.6765265268169033, 0.6827963060518897, 0.689168965057074, 0.6948087022465083, 0.700317052550309, 0.7089705800959561, 0.7112759675335072, 0.7160802617235238, 0.7238737308739152, 0.7322562609365478, 0.7399216175165574, 0.7439687858593578, 0.7479663574344123, 0.7537006742193825, 0.7612981092819042, 0.7706657001489696, 0.7758491355257231, 0.7854661488372199, 0.7897994391188927, 0.7919427185944586, 0.805886974175382, 0.8089834108890163, 0.8151803002860442, 0.8207716093177391, 0.8359693845544807, 0.8415758843623283, 0.8471841565305182, 0.8553361994861498, 0.866491082952153, 0.8729793483409225, 0.8814327124262842, 0.8922892198461964, 0.9020232905642437, 0.9091989990322387, 0.9173293570278168, 0.9303481055045104, 0.9418074513435254, 0.9500102546605299, 0.9627483331068226, 0.9819342675328584, 0.9855533700220681, 0.9891519146453692, 0.9908536585365857, 0.9923780487804881, 0.9939024390243905, 0.9954268292682928, 0.9969512195121952, 0.9984756097560976]"
188,-20.67,"[0.0013297872340425527, 0.002659574468085106, 0.003989361702127659, 0.005319148936192629, 0.00664893617024804, 0.007978723404303556, 0.009308510638359132, 0.010792092233137986, 0.01330018257670505, 0.02182700983881342, 0.037334183505159164, 0.046159135621578015, 0.05626685158838955, 0.06591145158440964, 0.07309385126539598, 0.08375747310041401, 0.09327908951919013, 0.10005612895187543, 0.10975896581422034, 0.11727640288689459, 0.1245095138612339, 0.13235955354331028, 0.13994441463130222, 0.1442396723576808, 0.1554836482255781, 0.15987999730939123, 0.16774898422896584, 0.17721561728339744, 0.18148341241818117, 0.18339880630696065, 0.19060319013644214, 0.20194566066073047, 0.2075717211563711, 0.21381222459431667, 0.2153602760490767, 0.2225192175335469, 0.22998633670797955, 0.2326226938492504, 0.24299660898018824, 0.24768912128184967, 0.25301311057849746, 0.2550377665347787, 0.26268488297191367, 0.2656369480422411, 0.2752673720860497, 0.27992286565255453, 0.28316753878171075, 0.28896872586866773, 0.2930467698318791, 0.2985845406179736, 0.3043002651327666, 0.30929029850448897, 0.31597273391897457, 0.3209194960715528, 0.3232489836715235, 0.32878352441341047, 0.3307350040405587, 0.34035245448796037, 0.34564557421168773, 0.34994239122965864, 0.3521274226802705, 0.3572037662830218, 0.36188299205819513, 0.3693226433380169, 0.37260705645289405, 0.3786519195414356, 0.380463720066587, 0.38577019538302965, 0.39182930270769106, 0.3953489968163326, 0.4031942936615845, 0.40519885772030073, 0.4068841794821901, 0.4118924528930547, 0.4196806643960031, 0.4248208317576393, 0.4266907343423215, 0.42942013395749734, 0.4376500741441718, 0.44012303823928656, 0.4453980165130827, 0.4498467079454936, 0.45491069508448634, 0.45746967014384293, 0.46215072110827254, 0.4664138598222818, 0.47235008864351724, 0.47810282903442103, 0.4805931606003049, 0.4847172141330068, 0.48798807621805745, 0.4921245642375561, 0.4990490652399367, 0.5029132731867152, 0.5071433392772294, 0.5120905649122037, 0.5145276584816748, 0.5192940625727677, 0.5245423537948428, 0.5307338642221291, 0.5330396015094587, 0.5379133287079896, 0.5398684276305905, 0.5475116386302635, 0.5512130008304585, 0.5560101306756895, 0.5607152149146704, 0.56294805114705, 0.5688465294170362, 0.5734156096020988, 0.5792296961164222, 0.581346987740967, 0.5860746513362439, 0.5918468523454723, 0.5935396080884004, 0.6038216239692547, 0.6063982078710922, 0.6098666444355887, 0.6123155129925717, 0.6175364065650362, 0.6242371098820698, 0.6305344570555326, 0.6325729016345235, 0.6349924167263916, 0.6429794725985598, 0.646367056574495, 0.6521494124023173, 0.6564266234426281, 0.661024360366682, 0.6658708749171867, 0.6709645459346546, 0.6731256053510547, 0.6814045528958912, 0.6860585264400132, 0.6911579562985926, 0.6957322515464224, 0.6996538478144403, 0.7057586981073836, 0.7112585935238408, 0.7160876126734039, 0.7204568282924977, 0.7260489195062326, 0.7334634659041407, 0.7386030256501672, 0.7412929492088415, 0.7490178778937348, 0.7538139493590876, 0.7616293463024564, 0.7641806880933011, 0.771525360948424, 0.7770211821563288, 0.7816997970497671, 0.7903865135293608, 0.7980850226969336, 0.8004552442415932, 0.8059000840522104, 0.8124285537657767, 0.819977571131985, 0.8300391696457095, 0.8339644332145271, 0.8374920586038797, 0.8500306615955826, 0.8520116868004471, 0.8617350759143688, 0.8666389789400678, 0.8775006572575736, 0.8843253001402563, 0.8900741608178137, 0.9027805654556418, 0.9054917895490624, 0.9154789742549447, 0.9247721209667191, 0.9346777833609203, 0.9420108260999752, 0.9543540403316977, 0.9615415021801385, 0.9795500882600765, 0.9869237460079522, 0.9893617021276339, 0.9906914893617023, 0.9920212765957448, 0.9933510638297873, 0.9946808510638299, 0.9960106382978724, 0.9973404255319149, 0.9986702127659575]"
