N,SLL(dB),POINTS(without 0 and 1)
10,-8.44,"[0.41514240201407243, 0.5138861450933532, 0.5989816673533971, 0.6990653362488705, 0.7352239299208687, 0.8682345664352016, 0.928583677065366, 0.9667034697427829]"
11,-9.30,"[0.08294742857273554, 0.4252677698078448, 0.46136382579635393, 0.5946466257130679, 0.7072285298772586, 0.74266240790139, 0.8052512647020319, 0.9216325130775604, 0.9600083779629669]"
13,-10.34,"[0.3561355245275053, 0.3873553739815635, 0.48395369119370873, 0.5597715110507555, 0.6827699065261331, 0.7143851986258501, 0.7469791710367781, 0.8292307339780747, 0.8923260809055423, 0.937591683537731, 0.9750927524357355]"
15,-10.65,"[0.1390745256312015, 0.39225071408503653, 0.41431915194379143, 0.5159579954719261, 0.575361704167348, 0.6408260777564353, 0.69654119386762, 0.7331193843486232, 0.7961941141162928, 0.8828887382664453, 0.9165558153636427, 0.9472474884897503, 0.9750331617036108]"
17,-11.36,"[0.30647577869120074, 0.35321053318286705, 0.4467482068365589, 0.49921794441085543, 0.5251393842030498, 0.6094914610029936, 0.6277836333212388, 0.7068462900198242, 0.7330028086247888, 0.7775485514842984, 0.8434254134359284, 0.903265503423867, 0.9353438279374156, 0.9602979389060372, 0.9824747458400397]"
20,-11.74,"[0.28126271606393766, 0.3608408792111704, 0.40804034802409594, 0.4394193339153472, 0.4949963846611968, 0.5572387413444114, 0.5809921859676466, 0.6301170705952857, 0.6741548150494608, 0.7243804206514972, 0.7447959721236928, 0.7896057712107504, 0.8285014406536088, 0.892817494676925, 0.929873831233635, 0.9580308264949017, 0.9749321011637666, 0.9874321011637935]"
23,-12.26,"[0.017534578295446517, 0.040723842414381525, 0.05859218732168996, 0.14423137701906036, 0.18529553011943725, 0.26247395940178236, 0.31841793364461557, 0.3713255753563878, 0.40236639950355824, 0.4712803345242197, 0.49635947768676103, 0.5621298020875297, 0.5967127400949287, 0.663683341105233, 0.7072834985094497, 0.7594991412704141, 0.792933470670632, 0.8707102796692565, 0.9415181754111381, 0.9591560340629683, 0.9818931219012426]"
26,-12.95,"[0.014633608464171747, 0.03331432625394168, 0.04973495195198318, 0.13296540835091022, 0.1689354288431709, 0.22532071441670537, 0.2777147862659951, 0.3013019725040967, 0.3545743527757919, 0.36819547216598253, 0.44804908022953627, 0.48710809711785724, 0.5385806189458219, 0.5562132501865353, 0.598223141678839, 0.6185745920595924, 0.6865575757758606, 0.745809935720986, 0.7840373816136038, 0.8411248717006874, 0.8939846000506595, 0.950075371357744, 0.9666131749922064, 0.9866366721850984]"
30,-13.34,"[0.011823088509475593, 0.026995778921787398, 0.04325392134538826, 0.07684944329228344, 0.15520548648601626, 0.16908193407319744, 0.23373261616418894, 0.26110314717456456, 0.3082176648066931, 0.3365829272706474, 0.3647001846620129, 0.4119142668962399, 0.43229021632527637, 0.4793656817472997, 0.524541484516104, 0.5374482597672616, 0.5826681355231831, 0.6196335699115969, 0.6442874536400344, 0.7065745831460126, 0.7317515936914865, 0.7813797015735896, 0.8259459696110019, 0.8641569006651689, 0.9225205658858335, 0.9603256931754176, 0.9768275407864273, 0.987950052239545]"
35,-14.23,"[0.00749848719246027, 0.01843077071909175, 0.03536750630549278, 0.07957790116992855, 0.11916872392500623, 0.14649485272315096, 0.1992775650926225, 0.22889512456342728, 0.26836598316281596, 0.3238652118643736, 0.3365466450794645, 0.3608675759803107, 0.40927588998435105, 0.43330320197118427, 0.4462939363132568, 0.47458302174268846, 0.48975519305409243, 0.5353249195482599, 0.5701970230630018, 0.6107682530776802, 0.6212099001918114, 0.6737422486243155, 0.7007783912180967, 0.7253314626049336, 0.7472850392548812, 0.7970059850861776, 0.8079855517540594, 0.843699882024645, 0.8982792059759296, 0.9552864802327349, 0.9688494392202568, 0.9815842943315293, 0.9926584341736537]"
40,-14.53,"[0.007927301118845285, 0.014177301118879982, 0.022240819303779066, 0.037238135030888464, 0.09098371214757602, 0.12965238516270722, 0.15871154798106152, 0.20300779428700766, 0.22434701050501396, 0.24859826141118754, 0.28536533546954307, 0.2973636733754403, 0.34159501179197577, 0.3644297824214189, 0.3821211125262309, 0.4101814424626286, 0.4308773736106267, 0.46794877827451087, 0.49029803749178597, 0.515133574697047, 0.5291779936906357, 0.5614873192349649, 0.5953698574247209, 0.6077596347390235, 0.6403182572728818, 0.6675585640340334, 0.6916461230299913, 0.7250747876021357, 0.7504426992852393, 0.7850053621947255, 0.823566050263072, 0.8368831597714834, 0.8938813736031274, 0.9268958942099632, 0.940162532925431, 0.9772737089842748, 0.9873486451022743, 0.9937499999999788]"
46,-15.23,"[0.006602224119680604, 0.01234869400547269, 0.019708598055349396, 0.03234528384245826, 0.07518430834172755, 0.0934057844895218, 0.14661599595144004, 0.15972904625873863, 0.19958363217442807, 0.2290066184179601, 0.24053733107797837, 0.26551999649637253, 0.29583046047536676, 0.31488749818286016, 0.33463200677487814, 0.3535138752929436, 0.38494029335285973, 0.41445735022293906, 0.4295464928577281, 0.4506317962533599, 0.4699744494590285, 0.49494800635793096, 0.514874448891767, 0.5347314642908094, 0.5545354838898383, 0.5863418481186518, 0.5948285113535555, 0.625066400524594, 0.6322768414476048, 0.6613042247101764, 0.681764075919901, 0.7156068139651195, 0.7272394455127109, 0.7616261206641644, 0.7905842494686555, 0.8199366532030338, 0.8397500335603623, 0.8686553547183727, 0.8955912240998077, 0.941058927241862, 0.967206951275802, 0.9763374210519776, 0.9859223396816698, 0.9932183486686877]"
