N,SLL(dB),POINTS(without 0 and 1)
53,-20.80,"[0.012578616352201259, 0.025157232704402517, 0.04853334261184729, 0.08926640936778824, 0.11179311564384461, 0.14580572518542007, 0.16293215987338386, 0.19234392499921843, 0.21053948892296087, 0.23257853525151873, 0.2524263334959787, 0.27240624449598183, 0.2888018990897936, 0.30958095312355377, 0.3250493694416355, 0.3422991165705066, 0.3604741623540713, 0.3763891507792448, 0.39084601760237914, 0.4093915266970851, 0.42460423995849866, 0.4390175408388374, 0.45544188978040184, 0.47149835657483247, 0.4865154236050536, 0.5014759388051484, 0.5168267393846246, 0.5338030421303603, 0.5480324959553208, 0.5630152640283161, 0.5795787738441109, 0.5967166437809033, 0.6102903994849254, 0.6272958969703786, 0.6447292129883151, 0.6610884061107698, 0.6775753904537681, 0.6951054424946692, 0.7145616885062309, 0.7320113875812041, 0.7497366140000851, 0.7732880614423417, 0.7911922391130539, 0.8123482290580528, 0.841436958676302, 0.8563335341071903, 0.8950877751473282, 0.9113466032833043, 0.9622641509433962, 0.9748427672955975, 0.9874213836477987]"
61,-20.75,"[0.01092896174863388, 0.02185792349726776, 0.03278688524590164, 0.07452387119109391, 0.09027147700164473, 0.12178886808752329, 0.1412162039725998, 0.16504008802493914, 0.1837498357942381, 0.20476524224998907, 0.22147088887590255, 0.2401403187658038, 0.2579655980418687, 0.272975805222739, 0.289274720604227, 0.3064408516889885, 0.321090327336582, 0.33433052889069215, 0.3509947763947114, 0.3659096541548866, 0.3786981655988663, 0.3924064434370318, 0.40766600132747, 0.42163865236687714, 0.4350511988957439, 0.44666908012596773, 0.46166760819325, 0.47677595738658674, 0.48818871966411026, 0.5009213509489895, 0.516263280935984, 0.528373669072748, 0.5420532414124617, 0.5563923840242286, 0.5689697135786355, 0.5829476814702397, 0.5961197248457364, 0.6110952807981319, 0.6257413284293141, 0.6380466167410725, 0.6525309201412224, 0.6694451776574428, 0.6833607311175978, 0.6979387056094516, 0.7134569925529485, 0.7308198141665992, 0.7469765761584166, 0.7643003560083915, 0.7804917822194822, 0.7993659082225183, 0.8230274138575038, 0.8362652364194478, 0.8607933682033674, 0.8903077946166487, 0.9012843296661008, 0.9500664643165865, 0.9672131147540983, 0.9781420765027322, 0.9890710382513661]"
70,-20.72,"[0.009523809523809525, 0.01904761904761905, 0.028571428571428574, 0.0380952380952381, 0.08197647099743442, 0.09237132938953686, 0.12183001794637716, 0.1370087247766426, 0.16098605472654418, 0.1749219732579113, 0.19333025740884746, 0.2102640979471138, 0.22604161019695765, 0.241067606574709, 0.2568472112191016, 0.2693000285136895, 0.2844749538159904, 0.29999251776109853, 0.3115809186266284, 0.3234536452548193, 0.33838920169482395, 0.3517867804633383, 0.3633645635100231, 0.37532804407747694, 0.38745346252163865, 0.4006440847517004, 0.41316376903253427, 0.4238501278021821, 0.4359354767979442, 0.44896076959952785, 0.4586989183003245, 0.4709467863932144, 0.48414657137849093, 0.4946608483231329, 0.5070759482277047, 0.5172805594331252, 0.5296185468814556, 0.5423078745058806, 0.5529435862671706, 0.5653713326931956, 0.5777725983074623, 0.58774994762868, 0.6011294061276246, 0.612805844472793, 0.6263382353128681, 0.639368311880201, 0.6492986059156959, 0.6607668450937909, 0.6790826081139169, 0.6909960780179301, 0.7015141920121863, 0.714147994456794, 0.7327671213124213, 0.747093639981616, 0.7583197688214705, 0.7747797142360412, 0.7930285166554185, 0.8061426100502622, 0.8267936153663908, 0.8410239973532697, 0.8642478647663611, 0.8790676133394633, 0.9068741925007449, 0.9245319622755755, 0.961904761904762, 0.9714285714285715, 0.980952380952381, 0.9904761904761905]"
81,-20.68,"[0.00823045267489712, 0.01646090534979424, 0.02469135802469136, 0.03292181069958848, 0.04552410765845233, 0.0864880859155603, 0.09481269625643447, 0.11266892838617759, 0.13647901895252015, 0.1520731443819483, 0.16533269318743543, 0.17983318421066422, 0.19916760214553605, 0.21094245947297574, 0.22385214747683363, 0.23652244333712774, 0.2518810814402793, 0.26366162815327787, 0.27510948042125477, 0.28843661650887187, 0.2997141007533309, 0.31012736908849026, 0.32284853702561517, 0.3353315145433033, 0.3453285184531223, 0.3548868127808617, 0.3665685833086862, 0.3781389426266708, 0.3876945724860375, 0.3998112950988056, 0.41013191535182536, 0.41855712799633504, 0.4274915880021969, 0.44172392874728783, 0.4517189009637419, 0.4601056887969114, 0.46912229066142597, 0.48115134643181406, 0.4900921724667182, 0.5012447765265973, 0.5119362351742016, 0.5205803959815631, 0.5301467120841549, 0.5413653164013501, 0.5516176731362266, 0.5618553112700356, 0.5710141565064005, 0.5825606806862454, 0.5930806600714704, 0.602221025510856, 0.6126775722745799, 0.6246180260076284, 0.634513944045334, 0.6461123045588553, 0.6571392307988819, 0.6661698141329329, 0.6781044461024429, 0.692098831101477, 0.7024336228352116, 0.7128444258396875, 0.7246468185315269, 0.7395711747722166, 0.7514445828333419, 0.7624904893391192, 0.7775929311975971, 0.7912582009554118, 0.8041791662737398, 0.8197746039712345, 0.8354424555983665, 0.8521212885184483, 0.8642925381604089, 0.8875399689635918, 0.9079451478337749, 0.9162666629391143, 0.9588477366255146, 0.9670781893004117, 0.9753086419753088, 0.9835390946502058, 0.9917695473251029]"
93,-20.65,"[0.007168458781362007, 0.014336917562724014, 0.021505376344086023, 0.02867383512544803, 0.035842293906810034, 0.05079447392369632, 0.08876297850989806, 0.09604452663979646, 0.10440631535398663, 0.13153233606824996, 0.14498963498980744, 0.15627926731014236, 0.1692023564656083, 0.18409601344481155, 0.19849707732048286, 0.20947794441086307, 0.22175880630596767, 0.23069804020559084, 0.24494696151004883, 0.2566077759833603, 0.26674026413586144, 0.2769041755840338, 0.28718338204177024, 0.29769216851395647, 0.3083073387435599, 0.3190853710882089, 0.3281924228127284, 0.3374507266545398, 0.3472360040245234, 0.3568245544535896, 0.3668558058325457, 0.3762278810507335, 0.384640572159459, 0.3935290942568938, 0.40429585161156784, 0.41272355941923505, 0.4207842834515665, 0.43046365544520976, 0.4393188471743025, 0.4478825706898728, 0.4577249324359183, 0.46557401822535904, 0.4747088415566731, 0.4834153691766035, 0.49178259842329725, 0.5012460683757047, 0.5100320192639353, 0.5189141637022702, 0.5274073221635444, 0.5351626268438349, 0.5449773111729319, 0.5547718806380212, 0.5625243121769145, 0.5706385179148149, 0.5814643891269599, 0.5900594753349726, 0.5983116223648808, 0.6074120863670575, 0.6163488041119397, 0.6263185453046918, 0.6364593598378087, 0.6455102653922258, 0.6539213956607828, 0.6639433883678805, 0.6729471350308542, 0.6846217930603298, 0.6943833075674918, 0.7045097082785388, 0.7126087734413776, 0.7254906537884251, 0.7357021729200809, 0.7461947407934513, 0.7581915289171349, 0.7684380342052212, 0.7805912500341484, 0.7940200511996622, 0.8037078674617975, 0.8173601129708735, 0.8322766755416223, 0.8460513128096776, 0.8575794113063564, 0.8704265291465623, 0.897049841055269, 0.9063068763273129, 0.9135900585292593, 0.9569892473118282, 0.9641577060931902, 0.9713261648745521, 0.9784946236559141, 0.9856630824372761, 0.992831541218638]"
107,-20.63,"[0.006230529595015571, 0.012461059190031147, 0.018691588785046724, 0.0249221183800623, 0.031152647975077878, 0.037383177570093455, 0.04879829141072972, 0.08681724516138353, 0.09318587209651996, 0.10059124974272105, 0.11774907244614133, 0.136899120415449, 0.1481406603066637, 0.15880555418824016, 0.16678966994965316, 0.18160485890292927, 0.19572933902770784, 0.20400214009617199, 0.214588448407005, 0.22419077345278965, 0.233843644758876, 0.24559178933969472, 0.25507651897570444, 0.2644371551775012, 0.2734703586471511, 0.28217446318527406, 0.2912127077286692, 0.3005532582972771, 0.3099247345695938, 0.31823088285484435, 0.32718137427239113, 0.3350090226023518, 0.3431798157073389, 0.3516515220016315, 0.36022788801684863, 0.3687279254601199, 0.37717621838566895, 0.3841000183952326, 0.3912746759858169, 0.4010942001617151, 0.40931726651007333, 0.4163060669377818, 0.4228061440901751, 0.43146530503898994, 0.4390763172761308, 0.44841157263535436, 0.4554569888951487, 0.4625312400157267, 0.4698498365608087, 0.47761383878828306, 0.4848434686549982, 0.49315034486005077, 0.5008315611576135, 0.5087432564844242, 0.5169204646718449, 0.5241447837174669, 0.5308895653415346, 0.5380950286035874, 0.545464520559688, 0.5544365939572209, 0.5631416106215035, 0.57017534234534, 0.5777490947544824, 0.5855447635414804, 0.5926443892469336, 0.600677194662854, 0.6085330004586234, 0.6169154121340172, 0.6254800442934442, 0.6340583792213552, 0.6414278074885804, 0.6500574353696263, 0.6571569812350844, 0.6655463238418968, 0.6744910347290141, 0.6830866767523609, 0.6936171535242899, 0.7015160847693419, 0.7102578557349012, 0.7181166213930937, 0.725308090137836, 0.7397253639438379, 0.7475907731359406, 0.7562061748524859, 0.7664363788493593, 0.7765720553883799, 0.786854028533857, 0.7976787041554403, 0.8074921926766748, 0.8200800399928471, 0.8321820077244635, 0.8436662582295694, 0.8544051762109617, 0.8647199189629219, 0.8829365785599271, 0.9014728673929516, 0.9087604911654195, 0.9151362276200927, 0.956386292834891, 0.9626168224299065, 0.9688473520249221, 0.9750778816199377, 0.9813084112149533, 0.9875389408099688, 0.9937694704049844]"
124,-20.60,"[0.005376344086021504, 0.01075268817204301, 0.016129032258064516, 0.021505376344086023, 0.02688172043010753, 0.03225806451612904, 0.037634408602150546, 0.04301075268817205, 0.07795017225519194, 0.0900165547105976, 0.09715531565936841, 0.10633017701760844, 0.11972560058622536, 0.13478873052831708, 0.14700756022655231, 0.1567421838682897, 0.1652704226249333, 0.17387478215232155, 0.18483266534902218, 0.19632838982380602, 0.20331572429881126, 0.21461381373895225, 0.22322638948470988, 0.2305871982978253, 0.23944138461725037, 0.24883049866590892, 0.2563872061447631, 0.26482037151852295, 0.2726695732938154, 0.2809891192267819, 0.2889728637616698, 0.2965535874786156, 0.30388494762254054, 0.3116983802402541, 0.31909482063308975, 0.3262717263767601, 0.3338215627032791, 0.34114216701074773, 0.34834413484886273, 0.35567663161991053, 0.36297709670585826, 0.36971476865945513, 0.3768889758578378, 0.38282891931941343, 0.3893032799659419, 0.39702421108020103, 0.4050757589100184, 0.41157561830584294, 0.4175388237842782, 0.4242037004280896, 0.431436498388314, 0.4376186006813391, 0.44410267990957963, 0.45153759026380474, 0.4576305375660916, 0.4640942513875425, 0.47050513474887334, 0.4775769356961967, 0.48388316792207403, 0.49078182052512037, 0.497518997789797, 0.5039452740272699, 0.510925195205723, 0.5173828595448605, 0.5237969430454888, 0.5298429510450294, 0.5358590188578264, 0.5425176032534781, 0.5504358644530467, 0.5571766487975127, 0.5635891103944826, 0.5704807752923181, 0.576955975231081, 0.5835456329685041, 0.5898703634692264, 0.596513109913951, 0.6032139800205425, 0.6106410335753816, 0.6173422060268964, 0.6252736274619377, 0.6324017476483867, 0.6388558694497225, 0.6457729283134634, 0.65228009733354, 0.6592067303553232, 0.6664291355259137, 0.6743115646059364, 0.6826859241449633, 0.6901693274171554, 0.6987083342779323, 0.7053745636764192, 0.711872825201389, 0.7185254144349313, 0.7241619017046581, 0.7397667364755975, 0.7460412382159765, 0.7537389792937789, 0.7609687282753564, 0.7694438927628721, 0.7764970959293844, 0.7867157245833353, 0.7984063119912868, 0.8061312090739444, 0.8161053264656982, 0.825638404621773, 0.8353282611693842, 0.8457029367078459, 0.8553092210942113, 0.8666477020823903, 0.88088614288221, 0.8934803520078738, 0.9021334752104766, 0.9098582472300567, 0.9320771234936968, 0.956989247311828, 0.9623655913978495, 0.967741935483871, 0.9731182795698925, 0.978494623655914, 0.9838709677419355, 0.989247311827957, 0.9946236559139785]"
142,-20.58,"[0.004694835680751174, 0.009389671361502348, 0.014084507042253521, 0.018779342723004695, 0.023474178403755867, 0.02816901408450704, 0.03286384976525821, 0.037558685446009384, 0.042253521126760556, 0.07859831201200487, 0.08450385119306515, 0.08946413577979659, 0.09677093636572218, 0.11024080378589757, 0.12422291212667665, 0.13538607114008597, 0.14451323190443705, 0.15209434317340995, 0.16013468735945807, 0.16866469412173782, 0.1786149960420528, 0.18896987087310768, 0.19743172877550053, 0.20217261897984168, 0.21260107344207135, 0.22045782940355899, 0.22649227171460218, 0.23442392947657167, 0.24273884276009666, 0.250249574614935, 0.25759258321241363, 0.26490040199257203, 0.2714652721518623, 0.2782769240424945, 0.28503883475688546, 0.2918698224949231, 0.298595138020776, 0.30587214231188303, 0.3126329020518983, 0.3187009180550016, 0.32537054111909103, 0.3313552426144648, 0.3374635757114161, 0.3437894569314257, 0.35014687202451505, 0.3567149169410642, 0.36332184973773196, 0.3698830832016547, 0.37588672440821486, 0.3818350489457415, 0.38683337641460847, 0.391965099652937, 0.3987763264683021, 0.4046155184519117, 0.4123646995259324, 0.4180386332495411, 0.4232957369770315, 0.4283536766160009, 0.4341703532954118, 0.4404025816375709, 0.44620511925622175, 0.45237692969795973, 0.4582594315847487, 0.46354500262762466, 0.4693068204865604, 0.4752739637726409, 0.4806591166713068, 0.48670844183924905, 0.4924427189199438, 0.49804128055115854, 0.5041198693617022, 0.5098165598261961, 0.515794720057276, 0.521387124813979, 0.5267322837156804, 0.532729408194081, 0.5384471989867992, 0.5433082098265749, 0.5499316246360046, 0.5557865059109498, 0.5621914767106785, 0.5678784101692753, 0.5728740029431398, 0.5794894589608679, 0.5848912034649032, 0.5912054997131704, 0.5970559901730415, 0.6026492222904015, 0.6084364530938918, 0.6142609733828804, 0.6203912852285308, 0.6271565817528917, 0.633546590198069, 0.6396167341308931, 0.6457587430057565, 0.6520563808636152, 0.6574248456594746, 0.6636559653662598, 0.670190082103773, 0.67607292978912, 0.683456529769666, 0.6906318580733807, 0.6971785723388018, 0.7046989807841655, 0.7104630285506555, 0.7166228574941642, 0.7222295461784226, 0.7274762198233429, 0.7388261479892642, 0.7461765305751835, 0.7530975003212311, 0.759602043753209, 0.7666191786376428, 0.7748865183656652, 0.7805430070879222, 0.7913326952232642, 0.7979586801397771, 0.8052299746512954, 0.8139876572752929, 0.823948744980992, 0.8333345206209106, 0.8416957852267234, 0.8489552802578081, 0.8568591323586366, 0.866572218849831, 0.8802222399871439, 0.8947346716494099, 0.9025957387015924, 0.9075043968614318, 0.9123833913199821, 0.9530516431924887, 0.9577464788732398, 0.962441314553991, 0.9671361502347421, 0.9718309859154932, 0.9765258215962443, 0.9812206572769955, 0.9859154929577466, 0.9906103286384977, 0.9953051643192489]"
164,-20.56,"[0.004065040650406499, 0.008130081300813004, 0.01219512195121951, 0.016260162601626015, 0.02032520325203252, 0.024390243902439025, 0.02845528455284553, 0.032520325203252036, 0.03658536585365854, 0.04065040650408052, 0.044715447154505615, 0.07751100571222184, 0.08783444851656838, 0.09333889558940718, 0.09933739247782307, 0.10663187852633521, 0.11586926115985365, 0.12713181654712033, 0.13833600958423656, 0.14713120935096038, 0.154284224008193, 0.1612447235530814, 0.16794593180186904, 0.1749358767490882, 0.18269177345118945, 0.1908586423194244, 0.19820815317030935, 0.2024494944695751, 0.21382572465697897, 0.22068306843950253, 0.22524064317681258, 0.23162079825704115, 0.23832466100053712, 0.24491190039983063, 0.2504548791554552, 0.2572085700182112, 0.2639338011966876, 0.26989564445972053, 0.27617580474569575, 0.2823750424180649, 0.2881205764708399, 0.2937974128538024, 0.2993584851393627, 0.3048442635482862, 0.31067047195255215, 0.31634379975619936, 0.3218620394022312, 0.3276878656868994, 0.333576114067513, 0.33902978709860154, 0.3447655320100671, 0.3503429460084763, 0.35548468655240695, 0.36104437282141943, 0.3659238126723069, 0.3710669410443481, 0.3759541339035855, 0.38054407132706625, 0.3853349948215606, 0.39230453377303826, 0.3980731724683679, 0.40345545332924426, 0.4085921273593969, 0.41307794377801044, 0.4175467313703936, 0.4223716644842361, 0.4275141461958731, 0.43271468090795934, 0.43841543016711015, 0.4429252921526894, 0.4482932362760768, 0.4537917559104653, 0.45829395146620505, 0.46315057811049304, 0.46793275029009573, 0.4729385358713327, 0.4779654101404349, 0.48294711745464974, 0.48797368826236354, 0.49311254282911227, 0.497994474351159, 0.5032765214398995, 0.5082705396115335, 0.513456884142369, 0.5185406732466065, 0.5233514589039365, 0.5280700747216489, 0.5326204758369737, 0.5369938524544104, 0.5412951665745926, 0.5462849864135533, 0.5538309426495677, 0.5586649584899888, 0.5641766544969318, 0.5683254871369529, 0.5735521259447954, 0.5784146425469068, 0.5833463713257638, 0.5878525341536631, 0.5928830907585987, 0.5979480956170603, 0.6034364019365159, 0.6087144080095145, 0.614026744696396, 0.6194769209414257, 0.6250690479027938, 0.6306592100748084, 0.6359297683468359, 0.6408648010480847, 0.6460599057386256, 0.6509879432911757, 0.656005492702865, 0.6613986679186562, 0.6669110430458414, 0.6726690767848494, 0.6789005202472128, 0.6849245717571388, 0.6911946161639532, 0.697024957592013, 0.7025751597187895, 0.7082824219455279, 0.7130451769803643, 0.71818852704989, 0.7231958374526727, 0.7274584658470192, 0.737238062776152, 0.7476600170969323, 0.751991569965081, 0.7576621875803259, 0.7625796983476613, 0.7679310063936001, 0.7741437380952071, 0.7790707477282068, 0.7887110247961913, 0.7985400619873437, 0.8033088786612949, 0.8109032773887245, 0.8184908420057115, 0.8256460016022467, 0.8326605681994003, 0.8396715726818134, 0.8469008549431511, 0.8544523177764217, 0.8640084945730934, 0.8745570015528329, 0.8844286029835412, 0.8933818421016988, 0.9003371385583464, 0.9063123716097369, 0.9128847842154654, 0.9329079385222092, 0.955284552845494, 0.9593495934959191, 0.9634146341463418, 0.9674796747967482, 0.9715447154471547, 0.9756097560975612, 0.9796747967479676, 0.9837398373983741, 0.9878048780487806, 0.9918699186991871, 0.9959349593495935]"
188,-20.55,"[0.00354609929078014, 0.007092198581560282, 0.010638297872340424, 0.014184397163120565, 0.017730496453900707, 0.021276595744680847, 0.024822695035460987, 0.028368794326241127, 0.03191489361702127, 0.03546099290780141, 0.03900709219858155, 0.04255319148936169, 0.04609929078014183, 0.08481838419347676, 0.08845825605786599, 0.09208811155071811, 0.0957081547353941, 0.10094735658398267, 0.11030490867012477, 0.12219838354947564, 0.13301368311129041, 0.14006130047822032, 0.14607834571121123, 0.15169175659836784, 0.15771488528297098, 0.16420605552115702, 0.17085612402926376, 0.17798977804506472, 0.1856851157374654, 0.19288069554378498, 0.19861171762866153, 0.2022055258707268, 0.21071132667672962, 0.21672353944167608, 0.22076840925635674, 0.2264480911183443, 0.23259729208974944, 0.23894078033565133, 0.24451470732954647, 0.2501011570172446, 0.2562591730889319, 0.2616166460598433, 0.26662744456997817, 0.2718437394720645, 0.2769778419721687, 0.281794411129682, 0.28665544143021054, 0.2918899714045468, 0.2970322036724935, 0.30226724690650036, 0.3074841597130841, 0.3126025981988442, 0.3180203325431759, 0.32288291347208675, 0.32751329240822324, 0.3324577289044128, 0.33691142149359565, 0.3413162629638213, 0.3460510503054331, 0.35054412849509514, 0.3551820151629768, 0.3601615398821224, 0.36490457396882975, 0.36984356603932456, 0.37485645237373916, 0.3793719038334937, 0.3840916029031856, 0.3883011437820758, 0.392334847250651, 0.396922083655636, 0.40211493443152374, 0.4059571436319705, 0.40980161900012047, 0.41457381928561343, 0.41991653199900636, 0.42355221937215726, 0.4273230391160319, 0.43250465553503936, 0.4386831465500628, 0.4427453959029224, 0.44655116531120714, 0.450516121419601, 0.45434791092922217, 0.45859431792090743, 0.4628541763350029, 0.46723405167906024, 0.4716755856454042, 0.4760971876067796, 0.4806488913927089, 0.4851709711183699, 0.48964094647806305, 0.49414350297096166, 0.49860819149015684, 0.5029565713290212, 0.5073624258119269, 0.5115464306019741, 0.5157885221161234, 0.5197394618350052, 0.5236825428783425, 0.5274237456398971, 0.5324174343365496, 0.536818078455183, 0.5421092453673706, 0.5463330999172288, 0.5507450735963086, 0.5545429516037338, 0.5585790922054684, 0.5631966301950277, 0.5682608908192678, 0.5734999408214106, 0.577300991965006, 0.5809086255199535, 0.5852536126466079, 0.5903752736946384, 0.5945560347875494, 0.598525869086121, 0.6029761057274131, 0.6075343038837566, 0.6118560612937421, 0.6170332850964952, 0.6217383504261048, 0.626668022604007, 0.6318128499845745, 0.6363215991168997, 0.6409490433169649, 0.6454736961685184, 0.6498407879671996, 0.6539987332192417, 0.6584805291585041, 0.6629789688947602, 0.6674704839025198, 0.6725625879333554, 0.6777428118016924, 0.6831303077990418, 0.6889448435299514, 0.6943721437790719, 0.6998476194682416, 0.7048265762408679, 0.7093215299573172, 0.7137766584950673, 0.7173436453584138, 0.7215052049214508, 0.7250740967032065, 0.7324888569545491, 0.7430680457700828, 0.7478698795288901, 0.7522560854675256, 0.7564383599503594, 0.7615256701143319, 0.7664302505706507, 0.7731002575064452, 0.7776821128881999, 0.7828483398786084, 0.7914672575530114, 0.7989721655328843, 0.8025785839591507, 0.8090311141986298, 0.8156087516652729, 0.8222928901848824, 0.8291673105386136, 0.8359059891354474, 0.8424092632442247, 0.8489549818967306, 0.8548899946260423, 0.861130364272404, 0.8682805629985999, 0.8787018343895593, 0.8897295394148893, 0.8991166202794543, 0.9053660436119678, 0.9097210339930337, 0.9133571677081673, 0.9170034507312737, 0.9539007092198588, 0.9574468085106389, 0.960992907801419, 0.9645390070921991, 0.9680851063829792, 0.9716312056737593, 0.9751773049645394, 0.9787234042553195, 0.9822695035460995, 0.9858156028368796, 0.9893617021276597, 0.9929078014184398, 0.9964539007092199]"
