Res_Newton,Res_Grid,Res_Real,Newton_Error,Grid_Error
0.15075795963475525,0.15075795922545257,0.150757959634755239721808891296,5.582140886439886e-18,4.0930266950406854e-10
0.11121153901230195,0.11121153844139774,0.111211539012301894939253688996,5.433038066009725e-17,5.709041584628855e-10
0.12724329704033455,0.12724329699618223,0.127243297040334527629619411247,1.8836436642512783e-17,4.415230185200313e-11
0.15419101438890861,0.15419101044096065,0.154191014388908443831889552168,1.7105306476569007e-16,3.947947797488078e-09
0.16272234718211073,0.16272234634070776,0.162722347182110389886493024445,3.426798361231849e-16,8.414026323915675e-10
0.18216977715508206,0.18216977625234035,0.182169777155082017158524099905,4.609948289697001e-17,9.027416686150116e-10
0.14578773780103416,0.1457877357603514,0.145787737801034157439517703389,1.1908703257371271e-18,2.0406827628523424e-09
0.10346435673580645,0.10346435671064287,0.103464356735806413998336172676,3.68726596591164e-17,2.5163542680740324e-11
0.08170459154553182,0.0817045914512566,0.0817045915455317595694546384583,6.15590016905481e-17,9.427516495528263e-11
0.10540019470958481,0.10540019321624364,0.10540019470958484257747250819,3.2395393312861466e-17,1.4933412053377019e-09
0.1983384782235018,0.19833847530541363,0.198338478223501980335402602012,1.6744387545020677e-16,2.918088355197174e-09
0.16103121566407813,0.16103121538946324,0.16103121566407807270637520551,5.843814576118947e-17,2.746148279482138e-10
0.18882626163906963,0.18882626094562174,0.188826261639069690245714847128,6.44484100948596e-17,6.934479468978151e-10
0.11857375462195824,0.1185737546177248,0.118573754621958181130511863417,5.721170455504277e-17,4.233375836857053e-12
0.1913363627259164,0.19133635957955591,0.191336362725916342674906658733,4.9705036772745734e-17,3.146360428007625e-09
0.10686890830466864,0.1068689081275634,0.106868908304668491856931623736,1.4425421385065149e-16,1.771050890024331e-10
0.09100232949001141,0.09100232890960956,0.0910023294900111899217223034325,2.2332712880973437e-16,5.80401628252686e-10
0.12894562687874578,0.12894562598251252,0.128945626878745692236573353949,8.59844292840705e-17,8.962331682928052e-10
0.1073338365003899,0.10733383633820297,0.107333836500389878066915658008,2.002736081714053e-17,1.6218691052500517e-10
0.1100401628702984,0.1100401622831118,0.110040162870298327438775138767,7.227223583385682e-17,5.871865326223048e-10
0.06993603862503123,0.06993603754066774,0.0699360386250311397342394518623,8.741076191494499e-17,1.0843634004802205e-09
0.1276584348543874,0.12765843288023968,0.127658434854387178188866457707,2.310407925984019e-16,1.974147503133133e-09
0.13485253651340715,0.13485253301979847,0.134852536513407133907462920192,1.1294773927389017e-17,3.493608668832606e-09
0.1940095057912552,0.19400950448233492,0.194009505791255303040963825392,1.040267191442258e-16,1.3089203817472791e-09
0.18560275209546848,0.18560275185696237,0.185602752095468488753775116229,1.2563754037464233e-17,2.3850611631950745e-10
0.12663105668042743,0.1266310556949501,0.126631056680427437545894021855,9.083428621738283e-18,9.854773477054049e-10
0.12484722930885848,0.12484722757395961,0.124847229308858417754914769258,6.67095580685136e-17,1.734898810627352e-09
0.12878994324725968,0.1287899422492934,0.128789943247259709268057902463,3.424929023627473e-17,9.979662994308504e-10
0.10883658424752245,0.10883658415106677,0.108836584247522460197816504836,1.3109153504677296e-17,9.645568988822602e-11
0.2023707356907956,0.2023707311336059,0.202370735690795612635635220992,1.4409762892831052e-18,4.557189710372351e-09
0.08517475180070833,0.08517474968122052,0.0851747518007082495622680062183,7.640385917057992e-17,2.119487731079863e-09
0.11883618942111195,0.11883618928269998,0.118836189421111870326299998114,7.539245643266431e-17,1.384118870545595e-10
0.1388227508373142,0.1388227508373142,0.13882275083731444846761560106,2.357435771030782e-16,2.357435771030782e-16
0.10340737853018359,0.10340737853018361,0.103407378530183747464737271411,1.6174607696070666e-16,1.3399050134507775e-16
0.07769536684825872,0.07769536675895489,0.0776953668482587619335247267461,4.6846774512150446e-17,8.930387506802888e-11
0.083128789949865,0.0831287878639674,0.0831287899498649851489669937689,1.5547893312792663e-17,2.0858975918699483e-09
0.22344015871868722,0.2234401586524107,0.223440158718687125452835089439,9.522078036725038e-17,6.627641683548213e-11
0.12296422396445952,0.12296422346991069,0.122964223964459623874522059649,1.0024421165942679e-16,4.945489326856998e-10
0.18613236829897625,0.18613236233368263,0.186132368298976201144190590215,5.176300472655106e-17,5.965293568417385e-09
0.14198759532940744,0.14198759501422614,0.141987595329407303127653716088,1.3686475479671967e-16,3.1518116086280774e-10
0.12406469475147516,0.1240646915051931,0.124064694751475154814518777506,8.200312304857896e-18,3.2462820544074846e-09
0.08377886218704743,0.08377885910064611,0.0837788621870474330983263094975,4.387108931147669e-18,3.086401319464867e-09
0.12010537076004021,0.1201053707600403,0.120105370760039891534417155885,3.2274968624333745e-16,4.060164130902242e-16
0.11691127430717677,0.11691127312820258,0.116911274307176797871540367443,3.215273278015163e-17,1.1789742143226778e-09
0.10342159342108063,0.1034215934079873,0.103421593421080628545457242056,6.2549113718680706e-18,1.3093325719278564e-11
0.09795238783713064,0.0979523868585028,0.0979523878371306684060304439191,2.3951455253780395e-17,9.786278693785822e-10
0.09431948345478704,0.09431948316316299,0.0943194834547869873176934270837,4.9673491407194367e-17,2.9162399468385005e-10
0.1454743260063667,0.14547432201131633,0.145474326006366659933560626635,3.992582391256052e-17,3.9950503339247935e-09
0.11167562935355227,0.1116756293535523,0.111675629353552020281484818694,2.489924344320417e-16,2.767480100476706e-16
0.1292388913389198,0.12923889125548887,0.129238891338919863451576593459,5.993181855958684e-17,8.343098876404736e-11
0.15665717762859666,0.15665717390910422,0.156657177628596615426564165651,4.008988222415994e-17,3.7194923961816833e-09
0.16077848343998039,0.16077848097451894,0.160778483439980427754512130117,4.2482262211446034e-17,2.465461488592857e-09
0.13415658310646286,0.13415658200571673,0.13415658310646273068617613334,1.3153427762446022e-16,1.1007460015971029e-09
0.10784801829547697,0.10784801784292282,0.107848018295476835803655743427,1.3036263507857566e-16,4.525540165720455e-10
0.16032360069708443,0.16032360058310108,0.160323600697084489376980195561,6.086454018252418e-17,1.1398341140045798e-10
