Res_Newton,Res_Grid,Res_Real,Newton_Error,Grid_Error
0.1922519116439376,0.19225190514360413,0.19225191164393755853760533341,3.670448781918221e-17,6.500333429237433e-09
0.272876937552519,0.27287691149565996,0.272876937552519181069897153407,1.644533825623292e-16,2.6056859223773585e-08
0.24763501080835695,0.24763501050745854,0.247635011953817382724001764048,1.1454604292750518e-09,1.4463588465686898e-09
0.26113152522279476,0.2611315218053229,0.261131525222801246352358392992,6.488262496904222e-15,3.4174783493182844e-09
0.2944668632912413,0.2944668583616272,0.2944668632930404298443963033,1.7991533875519143e-12,4.931413203685012e-09
0.2233808954825611,0.22338086928964276,0.223380895711576261543481915557,2.2901516336811495e-10,2.6421933497646063e-08
0.24916685045250436,0.24916683182088542,0.249166850455362753348363825798,2.8583907586853043e-12,1.8634477332869648e-08
0.42146280268090014,0.4214627930914547,0.421462803368438623886215887801,6.875384845679618e-10,1.0276983944491203e-08
0.2901699169643648,0.2901699119622303,0.290169916964366017725475277743,1.2352953228325848e-15,5.002135719695113e-09
0.22197272589176154,0.22197272178506233,0.221972725900690960090792888702,8.929424746832812e-12,4.115628627668337e-09
0.33812588718365877,0.33812588485723355,0.338125888449263685730242067416,1.2656049170103904e-09,3.5920301361450106e-09
0.2892657523182262,0.2892657213025529,0.289265752318226438455097015665,2.2819497558191637e-16,3.101567353562791e-08
0.22563293644133028,0.22563292817388958,0.225632936951745547776056851003,5.104152637374147e-10,8.777855967994527e-09
0.291590447821639,0.2915904416279035,0.291590447831659623691168202543,1.0020614250892745e-11,6.2037561387132336e-09
0.3497886558717139,0.3497886475813617,0.349788655886617973749924867428,1.490404660198804e-11,8.305256284640412e-09
0.29350307510586515,0.29350306687961625,0.293503075123423958258533533163,1.755880611951605e-11,8.243807710405653e-09
0.1689912791998048,0.16899127917491738,0.168991279199875272767918367551,7.046693507759698e-14,2.495789238888988e-11
0.25276102413696466,0.2527610150223462,0.252761024136973977372867255801,9.314727612280442e-15,9.114627763607565e-09
0.30483119311188633,0.3048311722075674,0.304831193111892138709302772198,5.804885157404654e-15,2.090432474741247e-08
0.24000657758787847,0.2400065128908808,0.240006577587878542666092019274,7.581542377279503e-17,6.469699775167698e-08
0.29972727459681636,0.29972724966506203,0.299727274596816918977676758389,5.568932374248311e-16,2.493175488461045e-08
0.42053966005406035,0.42053964907097846,0.420539660054060404915838282282,5.580110316444456e-17,1.0983081944206014e-08
0.2622230069786645,0.2622229985913647,0.262223006993349048946467360023,1.4684529928726376e-11,8.401984329057283e-09
0.2929669959301812,0.2929669884443739,0.292966996105492757128999568984,1.7531153947346937e-10,7.661118846834839e-09
